"Name","vCPUs","MemoryGB","CachedDiskBytes","MaxResourceVolumeMB","CpuArchitectureType","LowPriorityCapable","EphemeralOSDiskSupported","EncryptionAtHostSupported","Regions"
"Standard_D2d_v4","2","8","0","76800","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D2d_v5","2","8","0","76800","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D2ds_v4","2","8","53687091200","76800","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D2ds_v5","2","8","0","76800","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D2lds_v5","2","4","0","76800","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D2ls_v5","2","4","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2"
"Standard_D2pds_v5","2","8","53687091200","76800","Arm64","True","True","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D2plds_v5","2","4","53687091200","76800","Arm64","True","True","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D2pls_v5","2","4","53687091200","0","Arm64","True","False","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D2ps_v5","2","8","53687091200","0","Arm64","True","False","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D2s_v3","2","8","53687091200","16384","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D2s_v4","2","8","53687091200","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D2s_v5","2","8","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D3","4","14","0","204800","x64","True","False","False","canadacentral,canadaeast,eastus2,westus"
"Standard_D3_v2","4","14","0","204800","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32_v3","32","128","0","819200","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32_v4","32","128","858993459200","0","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32_v5","32","128","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32a_v4","32","128","0","819200","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32ads_v5","32","128","0","1228800","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32as_v4","32","128","858993459200","262144","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32as_v5","32","128","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32d_v4","32","128","0","1228800","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32d_v5","32","128","0","1228800","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32ds_v4","32","128","858993459200","1228800","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32ds_v5","32","128","0","1228800","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32lds_v5","32","64","0","1228800","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32ls_v5","32","64","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2"
"Standard_D32pds_v5","32","128","858993459200","1228800","Arm64","True","True","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32plds_v5","32","64","858993459200","1228800","Arm64","True","True","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32pls_v5","32","64","858993459200","0","Arm64","True","False","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32ps_v5","32","128","858993459200","0","Arm64","True","False","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32s_v3","32","128","858993459200","262144","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32s_v4","32","128","858993459200","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D32s_v5","32","128","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4","8","28","0","409600","x64","True","False","False","canadacentral,canadaeast,eastus2,westus"
"Standard_D4_v2","8","28","0","409600","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4_v3","4","16","0","102400","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4_v4","4","16","107374182400","0","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4_v5","4","16","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48_v3","48","192","0","1228800","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48_v4","48","192","1288490188800","0","x64","True","False","False","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48_v5","48","192","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48a_v4","48","192","0","1228800","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48ads_v5","48","192","0","1843200","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48as_v4","48","192","1288490188800","393216","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48as_v5","48","192","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48d_v4","48","192","0","1843200","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48d_v5","48","192","0","1843200","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48ds_v4","48","192","1288490188800","1843200","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48ds_v5","48","192","0","1843200","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48lds_v5","48","96","0","1843200","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48ls_v5","48","96","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2"
"Standard_D48pds_v5","48","192","1288490188800","1843200","Arm64","True","True","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48plds_v5","48","96","1288490188800","1843200","Arm64","True","True","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48pls_v5","48","96","1288490188800","0","Arm64","True","False","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48ps_v5","48","192","1288490188800","0","Arm64","True","False","True","centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48s_v3","48","192","1288490188800","393216","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48s_v4","48","192","1288490188800","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D48s_v5","48","192","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4a_v4","4","16","0","102400","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4ads_v5","4","16","0","153600","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4as_v4","4","16","107374182400","32768","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4as_v5","4","16","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4d_v4","4","16","0","153600","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4d_v5","4","16","0","153600","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4ds_v4","4","16","107374182400","153600","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4ds_v5","4","16","0","153600","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4lds_v5","4","8","0","153600","x64","True","True","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2,westus3"
"Standard_D4ls_v5","4","8","0","0","x64","True","False","True","canadacentral,canadaeast,centralus,eastus,eastus2,northcentralus,southcentralus,westcentralus,westus,westus2"
